# Bright Star Catalogue, 5th Revised Ed. (Preliminary Version)
# Hoffleit D., Warren Jr W.H., Astronomical Data Center, NSSDC/ADC (1991)
# VizieR catalogue V/50 -- https://cdsarc.cds.unistra.fr/ftp/V/50/
#
# Generated by scripts/gen-starcatalog. Do not edit by hand.
# Selection: apparent visual magnitude <= 6.5. Equinox and epoch J2000.
#
# hr	ra_deg	dec_deg	vmag	bv	spectral_type	designation	name
2491	101.28708	-16.71611	-1.46	0.00	A1Vm	9Alp CMa	Sirius
2326	95.98792	-52.69583	-0.72	+0.15	F0II	Alp Car	Canopus
5340	213.91542	19.18250	-0.04	+1.23	K1.5IIIFe-0.5	16Alp Boo	Arcturus
5459	219.89958	-60.83528	-0.01	+0.71	G2V	Alp1Cen	
7001	279.23458	38.78361	0.03	0.00	A0Va	3Alp Lyr	Vega
1708	79.17250	45.99806	0.08	+0.80	G5IIIe+G0III	13Alp Aur	Capella
1713	78.63458	-8.20167	0.12	-0.03	B8Ia:	19Bet Ori	Rigel
2943	114.82542	5.22500	0.38	+0.42	F5IV-V	10Alp CMi	Procyon
472	24.42875	-57.23667	0.46	-0.16	B3Vpe	Alp Eri	Achernar
2061	88.79292	7.40694	0.50	+1.85	M1-2Ia-Iab	58Alp Ori	Betelgeuse
5267	210.95583	-60.37306	0.61	-0.23	B1III	Bet Cen	Hadar
7557	297.69583	8.86833	0.77	+0.22	A7V	53Alp Aql	Altair
1457	68.98000	16.50917	0.85	+1.54	K5+III	87Alp Tau	Aldebaran
6134	247.35167	-26.43194	0.96	+1.83	M1.5Iab-Ib+B4Ve	21Alp Sco	Antares
5056	201.29833	-11.16139	0.98	-0.23	B1III-IV+B2V	67Alp Vir	Spica
2990	116.32875	28.02611	1.14	+1.00	K0IIIb	78Bet Gem	Pollux
8728	344.41292	-29.62222	1.16	+0.09	A3V	24Alp PsA	Fomalhaut
4853	191.93000	-59.68861	1.25	-0.23	B0.5III	Bet Cru	Mimosa
7924	310.35792	45.28028	1.25	+0.09	A2Ia	50Alp Cyg	Deneb
4730	186.64958	-63.09917	1.33	-0.24	B0.5IV	Alp1Cru	Acrux
5460	219.90042	-60.83556	1.33	+0.88	K1V	Alp2Cen	
3982	152.09292	11.96722	1.35	-0.11	B7V	32Alp Leo	Regulus
2618	104.65625	-28.97222	1.50	-0.21	B2II	21Eps CMa	Adhara
4763	187.79125	-57.11333	1.63	+1.59	M3.5III	Gam Cru	Gacrux
6527	263.40208	-37.10389	1.63	-0.22	B2IV+B	35Lam Sco	Shaula
1790	81.28292	6.34972	1.64	-0.22	B2III	24Gam Ori	Bellatrix
1791	81.57292	28.60750	1.65	-0.13	B7III	112Bet Tau	Elnath
3685	138.30000	-69.71722	1.68	0.00	A2IV	Bet Car	Miaplacidus
1903	84.05333	-1.20194	1.70	-0.19	B0Ia	46Eps Ori	Alnilam
4731	186.65208	-63.09944	1.73	-0.26	B1V	Alp2Cru	
8425	332.05833	-46.96111	1.74	-0.13	B7IV	Alp Gru	Alnair
4905	193.50708	55.95972	1.77	-0.02	A0pCr	77Eps UMa	Alioth
3207	122.38333	-47.33667	1.78	-0.22	WC8+O9I	Gam2Vel	
1017	51.08083	49.86111	1.79	+0.48	F5Ib	33Alp Per	Mirfak
4301	165.93208	61.75083	1.79	+1.07	K0IIIa	50Alp UMa	Dubhe
2693	107.09792	-26.39333	1.84	+0.68	F8Ia	25Del CMa	Wezen
6879	276.04292	-34.38472	1.85	-0.03	B9.5III	20Eps Sgr	Kaus Australis
3307	125.62833	-59.50972	1.86	+1.28	K3III+B2:V	Eps Car	Avior
5191	206.88500	49.31333	1.86	-0.19	B3V	85Eta UMa	Alkaid
6553	264.33000	-42.99778	1.87	+0.40	F1II	The Sco	Sargas
2088	89.88208	44.94750	1.90	+0.03	A2IV	34Bet Aur	Menkalinan
6217	252.16625	-69.02778	1.92	+1.44	K2IIb-IIIa	Alp TrA	Atria
2421	99.42792	16.39917	1.93	0.00	A0IV	24Gam Gem	Alhena
7790	306.41208	-56.73500	1.94	-0.20	B2IV	Alp Pav	Peacock
3485	131.17583	-54.70833	1.96	+0.04	A1V	Del Vel	Alsephina
2294	95.67500	-17.95583	1.98	-0.23	B1II-III	2Bet CMa	Mirzam
2891	113.65000	31.88833	1.98	+0.03	A1V	66Alp Gem	Castor
3748	141.89667	-8.65861	1.98	+1.44	K3II-III	30Alp Hya	Alphard
617	31.79333	23.46250	2.00	+1.15	K2-IIICa-1	13Alp Ari	Hamal
5958	239.87583	25.92028	2.00	+0.1	sdBe+gM3+Q		
424	37.95292	89.26417	2.02	+0.60	F7:Ib-II	1Alp UMi	Polaris
7121	283.81625	-26.29667	2.02	-0.22	B2.5V	34Sig Sgr	Nunki
188	10.89750	-17.98667	2.04	+1.02	G9.5IIICH-1	16Bet Cet	Diphda
1948	85.18958	-1.94278	2.05	-0.21	O9.7Ib	50Zet Ori	Alnitak
15	2.09708	29.09056	2.06	-0.11	B8IVpMnHg	21Alp And	Alpheratz
337	17.43292	35.62056	2.06	+1.58	M0+IIIa	43Bet And	Mirach
2004	86.93917	-9.66972	2.06	-0.17	B0.5Ia	53Kap Ori	Saiph
5288	211.67083	-36.37000	2.06	+1.01	K0-IIIb	5The Cen	Menkent
5563	222.67625	74.15556	2.08	+1.47	K4-III	7Bet UMi	Kochab
6556	263.73375	12.56000	2.08	+0.15	A5III	55Alp Oph	Rasalhague
8636	340.66708	-46.88472	2.10	+1.60	M5III	Bet Gru	
936	47.04208	40.95556	2.12	-0.05	B8V	26Bet Per	Algol
4534	177.26500	14.57194	2.14	+0.09	A3V	94Bet Leo	Denebola
4819	190.37917	-48.95972	2.17	-0.01	A1IV	Gam Cen	Muhlifain
7796	305.55708	40.25667	2.20	+0.68	F8Ib	37Gam Cyg	Sadr
3634	136.99917	-43.43250	2.21	+1.66	K4.5Ib-II	Lam Vel	Suhail
168	10.12708	56.53722	2.23	+1.17	K0IIIa	18Alp Cas	Schedar
1852	83.00167	-0.29917	2.23	-0.22	O9.5II	34Del Ori	Mintaka
5793	233.67208	26.71472	2.23	-0.02	A0V+G5V	5Alp CrB	Alphecca
6705	269.15167	51.48889	2.23	+1.52	K5III	33Gam Dra	Eltanin
3165	120.89625	-40.00333	2.25	-0.26	O5f	Zet Pup	Naos
3699	139.27250	-59.27528	2.25	+0.18	A8Ib	Iot Car	Aspidiske
603	30.97500	42.32972	2.26	+1.37	K3-IIb	57Gam1And	
21	2.29458	59.14972	2.27	+0.34	F2III-IV	11Bet Cas	Caph
5054	200.98125	54.92528	2.27	+0.02	A1VpSrSi	79Zet UMa	Mizar
6241	252.54083	-34.29333	2.29	+1.15	K2.5III	26Eps Sco	
5132	204.97167	-53.46639	2.30	-0.22	B1III	Eps Cen	
5469	220.48250	-47.38833	2.30	-0.20	B1.5III/Vn	Alp Lup	
5440	218.87667	-42.15778	2.31	-0.19	B1.5Vne	Eta Cen	
5953	240.08333	-22.62167	2.32	-0.12	B0.3IV	7Del Sco	Dschubba
4295	165.46042	56.38250	2.37	-0.02	A1V	48Bet UMa	Merak
99	6.57083	-42.30611	2.39	+1.09	K0III	Alp Phe	Ankaa
8308	326.04667	9.87500	2.39	+1.53	K2Ib	8Eps Peg	Enif
6580	265.62208	-39.03000	2.41	-0.22	B1.5III	Kap Sco	Girtab
8775	345.94375	28.08278	2.42	+1.67	M2.5II-III	53Bet Peg	Scheat
6378	257.59458	-15.72472	2.43	+0.06	A2V	35Eta Oph	Sabik
4554	178.45750	53.69472	2.44	0.00	A0Ve	64Gam UMa	Phecda
8162	319.64500	62.58556	2.44	+0.22	A7V	5Alp Cep	Alderamin
2827	111.02375	-29.30306	2.45	-0.08	B5Ia	31Eta CMa	Aludra
7949	311.55292	33.97028	2.46	+1.03	K0-III	53Eps Cyg	Aljanah
264	14.17708	60.71667	2.47	-0.15	B0IVe	27Gam Cas	Navi
8781	346.19042	15.20528	2.49	-0.04	B9V	54Alp Peg	Markab
3734	140.52833	-55.01083	2.50	-0.18	B2IV-V	Kap Vel	Markeb
911	45.57000	4.08972	2.53	+1.64	M1.5IIIa	92Alp Cet	
5231	208.88500	-47.28833	2.55	-0.22	B2.5IV	Zet Cen	
4357	168.52708	20.52361	2.56	+0.12	A4V	68Del Leo	Zosma
6175	249.28958	-10.56722	2.56	+0.02	O9.5Vn	13Zet Oph	
1865	83.18250	-17.82222	2.58	+0.21	F0Ib	11Alp Lep	Arneb
4662	183.95167	-17.54194	2.59	-0.11	B8IIIpHgMn	4Gam Crv	Gienah
4621	182.08958	-50.72250	2.60	-0.12	B2IVne	Del Cen	
7194	285.65292	-29.88028	2.60	+0.08	A2III+A4IV	38Zet Sgr	
4057	154.99292	19.84167	2.61	+1.15	K1-IIIbFe-0.5	41Gam1Leo	
5685	229.25167	-9.38306	2.61	-0.11	B8V	27Bet Lib	Zubeneschamali
2095	89.93042	37.21250	2.62	-0.08	A0pSi	37The Aur	
5984	241.35917	-19.80556	2.62	-0.07	B1V	8Bet1Sco	Acrab
553	28.66000	20.80806	2.64	+0.13	A5V	6Bet Ari	Sheratan
1956	84.91208	-34.07417	2.64	-0.12	B7IVe	Alp Col	Phact
4786	188.59667	-23.39667	2.65	+0.89	G5II	9Bet Crv	Kraz
5854	236.06708	6.42556	2.65	+1.17	K2IIIbCN1	24Alp Ser	Unukalhai
403	21.45417	60.23528	2.68	+0.13	A5III-IV	37Del Cas	
5235	208.67125	18.39778	2.68	+0.58	G0IV	8Eta Boo	
5571	224.63292	-43.13389	2.68	-0.22	B2III/IV	Bet Lup	
1577	74.24833	33.16611	2.69	+1.53	K3II	3Iot Aur	
4216	161.69250	-49.42000	2.69	+0.90	G5III+G2V	Mu Vel	
4798	189.29583	-69.13556	2.69	-0.20	B2IV-V	Alp Mus	
6508	262.69083	-37.29583	2.69	-0.22	B2IV	34Ups Sco	
2773	109.28583	-37.09750	2.70	+1.62	K3Ib	Pi Pup	
5506	221.24667	27.07417	2.70	+0.97	K0-II-III	36Eps Boo	Izar
6859	275.24875	-29.82806	2.70	+1.38	K3-IIIa*	19Del Sgr	
7525	296.56500	10.61333	2.72	+1.52	K3II	50Gam Aql	Tarazed
6056	243.58625	-3.69444	2.74	+1.58	M0.5III	1Del Oph	Yed Prior
6132	245.99792	61.51417	2.74	+0.91	G8-IIIab	14Eta Dra	
5028	200.14917	-36.71222	2.75	+0.04	A2V	Iot Cen	
5531	222.71958	-16.04167	2.75	+0.15	A3IV	9Alp2Lib	Zubenelgenubi
4199	160.73917	-64.39444	2.76	-0.22	B0Vp	The Car	
1899	83.85833	-5.91000	2.77	-0.24	O9III	44Iot Ori	
6148	247.55500	21.48972	2.77	+0.94	G7IIIa	27Bet Her	
6603	265.86833	4.56722	2.77	+1.16	K2III	60Bet Oph	
5776	233.78542	-41.16694	2.78	-0.20	B2IV	Gam Lup	
1666	76.96250	-5.08639	2.79	+0.13	A3III	67Bet Eri	Cursa
6536	262.60833	52.30139	2.79	+0.98	G2Ib-IIa	23Bet Dra	Rastaban
98	6.43792	-77.25417	2.80	+0.62	G2IV	Bet Hyi	
4656	183.78625	-58.74889	2.80	-0.23	B2IV	Del Cru	
3185	121.88583	-24.30417	2.81	+0.43	F6IIpDel Del	15Rho Pup	
6212	250.32167	31.60306	2.81	+0.65	G0IV	40Zet Her	
6913	276.99250	-25.42167	2.81	+1.04	K1+IIIb	22Lam Sgr	
6165	248.97083	-28.21611	2.82	-0.25	B0V	23Tau Sco	
39	3.30917	15.18361	2.83	-0.23	B2IV	88Gam Peg	
4932	195.54417	10.95917	2.83	+0.94	G8IIIab	47Eps Vir	Vindemiatrix
1829	82.06125	-20.75944	2.84	+0.82	G5II	9Bet Lep	Nihal
1203	58.53292	31.88361	2.85	+0.12	B1Ib	44Zet Per	
5897	238.78542	-63.43056	2.85	+0.29	F2III	Bet TrA	
6461	261.32500	-55.53000	2.85	+1.46	K3Ib-IIa	Bet Ara	
591	29.69250	-61.56972	2.86	+0.28	F0V	Alp Hyi	
8502	334.62542	-60.25972	2.86	+1.39	K3III	Alp Tuc	
1165	56.87125	24.10500	2.87	-0.09	B7IIIe	25Eta Tau	Alcyone
7528	296.24375	45.13083	2.87	-0.03	B9.5IV+F1V	18Del Cyg	
8322	326.76000	-16.12722	2.87	+0.29	Am	49Del Cap	
2286	95.74000	22.51361	2.88	+1.64	M3IIIab	13Mu Gem	Tejat
2890	113.65000	31.88861	2.88	+0.04	A2Vm	66Alp Gem	
1220	59.46333	40.01028	2.89	-0.18	B0.5V+A2V	45Eps Per	
5671	229.72750	-68.67944	2.89	0.00	A1V	Gam TrA	
5944	239.71292	-26.11417	2.89	-0.19	B1V+B2V	6Pi Sco	
6084	245.29708	-25.59278	2.89	+0.13	B1III	20Sig Sco	
7264	287.44083	-21.02361	2.89	+0.35	F2II	41Pi Sgr	
2845	111.78750	8.28944	2.90	-0.09	B8Ve	3Bet CMi	Gomeisa
4915	194.00708	38.31833	2.90	-0.12	A0pSiEuHg	12Alp2CVn	Cor Caroli
8232	322.88958	-5.57111	2.91	+0.83	G0Ib	22Bet Aqr	Sadalsuud
915	46.19917	53.50639	2.93	+0.70	G8III+A2V	23Gam Per	
2553	102.48417	-50.61472	2.93	+1.20	K1III	Tau Pup	
8650	340.75042	30.22139	2.94	+0.86	G2II-III+F0V	44Eta Peg	
1231	59.50750	-13.50861	2.95	+1.59	M0.5IIICa-1Cr-1	34Gam Eri	
4757	187.46625	-16.51556	2.95	-0.05	B9.5V	7Del Crv	Algorab
6510	262.96042	-49.87611	2.95	-0.17	B2Vne	Alp Ara	
8414	331.44583	-0.31972	2.96	+0.98	G2Ib	34Alp Aqr	Sadalmelik
2473	100.98292	25.13111	2.98	+1.40	G8Ib	27Eps Gem	Mebsuta
3873	146.46292	23.77417	2.98	+0.80	G1II	17Eps Leo	
1605	75.49208	43.82333	2.99	+0.54	F0Iae+B	7Eps Aur	
6746	271.45208	-30.42417	2.99	+1.00	K0III	10Gam2Sgr	
7235	286.35250	13.86333	2.99	+0.01	A0Vn	17Zet Aql	
622	32.38583	34.98722	3.00	+0.14	A5III	4Bet Tri	
1910	84.41125	21.14250	3.00	-0.19	B4IIIpe	123Zet Tau	
4630	182.53125	-22.61972	3.00	+1.33	K2.5IIIaBa0.2:	2Eps Crv	Minkar
5020	199.73042	-23.17167	3.00	+0.92	G8-IIIa	46Gam Hya	
1122	55.73125	47.78750	3.01	-0.13	B5IIIe	39Del Per	
3890	146.77542	-65.07194	3.01	+0.28	A6Ib	Ups Car	
4335	167.41583	44.49861	3.01	+1.14	K1III	52Psi UMa	
8353	328.48208	-37.36500	3.01	-0.12	B8III	Gam Gru	
2282	95.07833	-30.06333	3.02	-0.19	B2.5V	1Zet CMa	
2653	105.75625	-23.83333	3.02	-0.08	B3Iab	24Omi2CMa	
5435	218.01958	38.30833	3.03	+0.19	A7III	27Gam Boo	
6615	266.89625	-40.12694	3.03	+0.51	F2Iae	Iot1Sco	
681	34.83625	-2.97750	3.04	+1.42	M7IIIe+Bep	68Omi Cet	
5193	207.40417	-42.47389	3.04	-0.17	B2IV-Ve	Mu Cen	
4069	155.58208	41.49944	3.05	+1.59	M0III	34Mu UMa	Tania Australis
4844	191.57042	-68.10806	3.05	-0.18	B2.5V	Bet Mus	
5735	230.18208	71.83389	3.05	+0.05	A3II-III	13Gam UMi	Pherkad
7310	288.13875	67.66167	3.07	+1.00	G9III	57Del Dra	
6247	252.96750	-38.04750	3.08	-0.20	B1.5V+B6.5V	Mu 1Sco	
7417	292.68042	27.95972	3.08	+1.13	K3II+B9.5V	6Bet1Cyg	Albireo
7776	305.25292	-14.78139	3.08	+0.79	F8V+A0	9Bet Cap	
3547	133.84833	5.94556	3.11	+1.00	G9II-III	16Zet Hya	
4232	162.40625	-16.19361	3.11	+1.25	K2III	Nu Hya	
6832	274.40667	-36.76167	3.11	+1.56	M3.5III	Eta Sgr	
7869	309.39167	-47.29139	3.11	+1.00	K0IIICNIII-IV	Alp Ind	
2040	87.74000	-35.76833	3.12	+1.16	K2III	Bet Col	
3705	140.26375	34.39250	3.13	+1.55	K7IIIab	40Alp Lyn	
3803	142.80542	-57.03444	3.13	+1.55	K5III		
4467	173.94500	-63.01972	3.13	-0.04	B9III	Lam Cen	
5576	224.79042	-42.10417	3.13	-0.20	B2IV	Kap Cen	
6285	254.65500	-55.99028	3.13	+1.60	K3III	Zet Ara	
3569	134.80167	48.04167	3.14	+0.19	A7IV	9Iot UMa	Talitha
6410	258.75792	24.83917	3.14	+0.08	A3IV	65Del Her	
6418	258.76167	36.80917	3.16	+1.44	K3IIab	67Pi Her	
1641	76.62875	41.23444	3.17	-0.18	B3V	10Eta Aur	
2451	99.44042	-43.19611	3.17	-0.11	B8III	Nu Pup	
3775	143.21417	51.67722	3.17	+0.46	F6IV	25The UMa	
6396	257.19667	65.71472	3.17	-0.12	B6III	22Zet Dra	
7039	281.41417	-26.99083	3.17	-0.11	B8III	27Phi Sgr	
1543	72.46000	6.96139	3.19	+0.45	F6V	1Pi 3Ori	
1654	76.36542	-22.37111	3.19	+1.46	K5III	2Eps Lep	
5463	220.62667	-64.97528	3.19	+0.24	ApSrEuCr:	Alp Cir	
6299	254.41708	9.37500	3.20	+1.15	K2III	27Kap Oph	
8115	318.23417	30.22694	3.20	+0.99	G8+III-IIIaBa0.6	64Zet Cyg	
6630	267.46458	-37.04333	3.21	+1.17	K2III		
8974	354.83667	77.63250	3.21	+1.03	K1III-IV	35Gam Cep	
5695	230.34292	-40.64750	3.22	-0.22	B1.5IV	Del Lup	
7710	302.82625	-0.82139	3.23	-0.07	B9.5III	65The Aql	
8238	322.16500	70.56083	3.23	-0.22	B1IV	8Bet Cep	
897	44.56542	-40.30472	3.24	+0.14	A4III	The1Eri	
1208	56.80958	-74.23889	3.24	+1.62	M2III	Gam Hyi	
6075	244.58042	-4.69250	3.24	+0.96	G9.5IIIbFe-0.5	2Eps Oph	
7178	284.73583	32.68944	3.24	-0.05	B9III	14Gam Lyr	
2878	112.30750	-43.30139	3.25	+1.51	K5III	Sig Pup	
6869	275.32750	-2.89889	3.26	+0.94	K0III-IV	58Eta Ser	
165	9.83208	30.86083	3.27	+1.28	K3III	31Del And	
1465	68.49917	-55.04500	3.27	-0.10	A0IIISi	Alp Dor	
2550	102.04750	-61.94139	3.27	+0.21	A7IV	Alp Pic	
5287	211.59292	-26.68250	3.27	+1.12	K2-III-IIIbFe-0.5	49Pi Hya	
6453	260.50250	-24.99944	3.27	-0.22	B2IV	42The Oph	
8709	343.66250	-15.82083	3.27	+0.05	A3V	76Del Aqr	
2216	93.71917	22.50667	3.28	+1.60	M3III	7Eta Gem	Propus
5603	226.01750	-25.28194	3.29	+1.70	M3-III	20Sig Lib	
5744	231.23250	58.96611	3.29	+1.16	K2III	12Iot Dra	Edasich
322	16.52083	-46.71861	3.31	+0.89	G8III	Bet Phe	
1702	78.23292	-16.20556	3.31	-0.11	B9IIIpHgMn	5Mu Lep	
4660	183.85667	57.03250	3.31	+0.08	A3V	69Del UMa	Megrez
4037	153.43417	-70.03806	3.32	-0.08	B8III	Ome Car	
4140	158.00583	-61.68528	3.32	-0.09	B4Vne		
7234	286.73500	-27.67056	3.32	+1.19	K1+IIIb	40Tau Sgr	
6380	258.03833	-43.23917	3.33	+0.41	F3III-IVp	Eta Sco	
3045	117.32375	-24.85972	3.34	+1.24	G6Iab-Ib	7Xi Pup	
4359	168.56000	15.42944	3.34	-0.01	A2V	70The Leo	Chertan
6462	261.34833	-56.37750	3.34	-0.13	B1Ib	Gam Ara	
6698	269.75667	-9.77361	3.34	+0.99	K0IIIaCN-1	64Nu Oph	
1336	63.60625	-62.47389	3.35	+0.91	G8II-III	Alp Ret	
8465	332.71375	58.20111	3.35	+1.57	K1.5Ib	21Zet Cep	
1788	81.11917	-2.39694	3.36	-0.17	B1V+B2e	28Eta Ori	
2484	101.32250	12.89556	3.36	+0.43	F5III	31Xi Gem	
3323	127.56625	60.71806	3.36	+0.84	G5III	1Omi UMa	Muscida
7377	291.37458	3.11472	3.36	+0.32	F3IV	30Del Aql	
5107	203.67333	-0.59583	3.37	+0.11	A3V	79Zet Vir	Heze
5708	230.67042	-44.68944	3.37	-0.18	B2IV-V	Eps Lup	
542	28.59875	63.67000	3.38	-0.15	B3III	45Eps Cas	
3482	131.69417	6.41889	3.38	+0.68	G5III	11Eps Hya	
4910	193.90083	3.39750	3.38	+1.58	M3+III	43Del Vir	
921	46.29417	38.84028	3.39	+1.65	M4II	25Rho Per	
1412	67.16542	15.87083	3.40	+0.18	A7III	78The2Tau	
4050	154.27083	-61.33222	3.40	+1.54	K3IIa		
8634	340.36542	10.83139	3.40	-0.09	B8V	42Zet Peg	
429	22.09125	-43.31833	3.41	+1.57	M0-IIIa	Gam Phe	
544	28.27042	29.57889	3.41	+0.49	F6IV	2Alp Tri	
5190	207.37625	-41.68778	3.41	-0.22	B2IV	Nu Cen	
5649	228.07125	-52.09917	3.41	+0.92	G8III	Zet Lup	
5948	240.03042	-38.39694	3.41	-0.22	B2.5IV	Eta Lup	
6623	266.61458	27.72056	3.42	+0.75	G5IV	86Mu Her	
7913	311.23958	-66.20306	3.42	+0.16	A7III	Bet Pav	
7957	311.32250	61.83889	3.43	+0.92	K0IV	3Eta Cep	
219	12.27500	57.81583	3.44	+0.57	F9V+dM0	24Eta Cas	
3659	137.74167	-58.96694	3.44	-0.19	B2IV-V		
4031	154.17250	23.41722	3.44	+0.31	F0III	36Zet Leo	Adhafera
7236	286.56208	-4.88250	3.44	-0.09	B9Vn	16Lam Aql	
334	17.14750	-10.18222	3.45	+1.16	K1.5IIICN1Fe0.5	31Eta Cet	
4033	154.27417	42.91444	3.45	+0.03	A2IV	33Lam UMa	Tania Borealis
7106	282.52000	33.36278	3.45	0.00	B8IIpe	10Bet Lyr	
804	40.82500	3.23583	3.47	+0.09	A3V	86Gam Cet	
1239	60.17000	12.49028	3.47	-0.12	B3V+A4IV	35Lam Tau	
2646	105.42958	-27.93472	3.47	+1.73	K7Ib	22Sig CMa	
3117	119.19458	-52.98222	3.47	-0.18	B3IVp	Chi Car	
5681	228.87583	33.31472	3.47	+0.95	G8IIIFe-1	49Del Boo	
7635	299.68917	19.49222	3.47	+1.57	M0-III	12Gam Sge	
4377	169.61958	33.09417	3.48	+1.40	K3-IIIBa0.3	54Nu UMa	Alula Borealis
6406	258.66208	14.39028	3.48	+1.44	M5Ib-II	64Alp1Her	
8684	342.50083	24.60167	3.48	+0.93	G8+III	48Mu Peg	
8675	342.13875	-51.31694	3.49	+0.08	A3V	Eps Gru	
509	26.01708	-15.93750	3.50	+0.72	G8V	52Tau Cet	
5602	225.48667	40.39056	3.50	+0.97	G8IIIaBa0.3Fe-0.5	42Bet Boo	
6897	276.74333	-45.96833	3.51	-0.17	B3IV	Alp Tel	
7150	284.43250	-21.10667	3.51	+1.18	K1III	37Xi 2Sgr	
3249	124.12875	9.18556	3.52	+1.48	K4IIIBa0.5	17Bet Cnc	
3852	145.28750	9.89222	3.52	+0.49	F6II+A1-5V	14Omi Leo	
3975	151.83333	16.76278	3.52	-0.03	A0Ib	30Eta Leo	
8694	342.42000	66.20056	3.52	+1.05	K0-III	32Iot Cep	
1409	67.15417	19.18028	3.53	+1.01	G9.5IIICN0.5	74Eps Tau	
2777	110.03083	21.98222	3.53	+0.34	F2IV	55Del Gem	Wasat
5881	237.40500	-3.43028	3.53	-0.04	A0V	32Mu Ser	
6220	250.72417	38.92222	3.53	+0.92	G7.5IIIbFe-1	44Eta Her	
8450	332.55000	6.19778	3.53	+0.08	A2Vp	26The Peg	
1136	55.81208	-9.76333	3.54	+0.92	K0+IV	23Del Eri	
1879	83.78458	9.93417	3.54	-0.18	O8III((f))	39Lam Ori	
3940	149.21583	-54.56778	3.54	-0.08	B5Ib	Phi Vel	
4450	173.25042	-31.85778	3.54	+0.94	G7III	Xi Hya	
6561	264.39667	-15.39861	3.54	+0.26	F0IVDel Sct	55Xi Ser	
1998	86.73875	-14.82194	3.55	+0.10	A3Vn	14Zet Lep	
5354	214.85083	-46.05778	3.55	-0.18	B2.5IV	Iot Lup	
74	4.85708	-8.82389	3.56	+1.22	K1.5III	8Iot Cet	
674	34.12750	-51.51222	3.56	-0.12	B8V-IV	Phi Eri	
1347	64.47375	-33.79833	3.56	-0.12	B9V	41Ups4Eri	
4382	169.83542	-14.77861	3.56	+1.12	G8III-IV	12Del Crt	
5705	230.45167	-36.26139	3.56	+1.54	K5III	Phi1Lup	
7665	302.18167	-66.18194	3.56	+0.76	G6-8IV	Del Pav	
464	24.49833	48.62833	3.57	+1.28	K3-III	51 And	
2985	116.11167	24.39806	3.57	+0.93	G8IIIa	77Kap Gem	Kappa Gem
6252	253.08375	-38.01750	3.57	-0.21	B2IV	Mu 2Sco	
6927	275.26417	72.73278	3.57	+0.49	F7V	44Chi Dra	
7754	304.51375	-12.54472	3.57	+0.94	G8IIIb	6Alp2Cap	
2763	109.52333	16.54028	3.58	+0.11	A3V	54Lam Gem	
5429	217.95750	30.37139	3.58	+1.30	K3-III	25Rho Boo	
5794	234.25625	-28.13500	3.58	+1.38	K3III	39Ups Lib	
4700	185.34000	-60.40111	3.59	+1.42	K3-4III	Eps Cru	
402	21.00583	-8.18333	3.60	+1.06	K0III-IIIb	45The Cet	
1030	51.20333	9.02889	3.60	+0.89	G6IIIFe-1	1Omi Tau	
1735	79.40167	-6.84444	3.60	-0.11	B5III	20Tau Ori	
1983	86.11583	-22.44833	3.60	+0.47	F6V	13Gam Lep	
2540	103.19708	33.96111	3.60	+0.10	A3III	34The Gem	
3594	135.90625	47.15667	3.60	0.00	A1Vn	12Kap UMa	
3786	142.67500	-40.46667	3.60	+0.36	F3IV+F0IV	Psi Vel	
3017	116.31375	-37.96861	3.61	+1.73	K2.5Ib-II		
3994	152.64708	-12.35417	3.61	+1.01	K0IIICN1	41Lam Hya	
4540	177.67375	1.76472	3.61	+0.55	F9V	5Bet Vir	Zavijava
437	22.87083	15.34583	3.62	+0.97	G7IIIa	99Eta Psc	
3447	130.07333	-52.92194	3.62	-0.18	B3IV		
4923	195.56750	-71.54889	3.62	+1.18	K2III	Del Mus	
6271	253.64583	-42.36139	3.62	+1.37	K4III	Zet2Sco	
6500	262.77458	-60.68389	3.62	-0.10	B8Vn	Del Ara	
6582	266.43333	-64.72389	3.62	+1.19	K2II	Eta Pav	
8762	345.48042	42.32611	3.62	-0.09	B6IIIpe+A2p	1Omi And	
838	42.49583	27.26056	3.63	-0.10	B8Vn	41 Ari	
1178	57.29042	24.05333	3.63	-0.09	B8III	27 Tau	
7882	309.38750	14.59528	3.63	+0.44	F5IV	6Bet Del	
4520	176.40167	-66.72861	3.64	+0.16	A7III	Lam Mus	
1346	64.94833	15.62750	3.65	+0.99	K0-IIIabCN1	54Gam Tau	
4825	190.41500	-1.44944	3.65	+0.36	F0V	29Gam Vir	Porrima
5291	211.09708	64.37583	3.65	-0.05	A0III	11Alp Dra	Thuban
7986	313.70250	-58.45417	3.65	+1.25	K1II	Bet Ind	
153	9.24292	53.89694	3.66	-0.20	B2IV	17Zet Cas	
5812	234.66417	-29.77778	3.66	-0.17	B2.5V	40Tau Lib	
6743	271.65792	-50.09167	3.66	-0.08	B2Ib	The Ara	
8812	347.36167	-21.17250	3.66	+1.22	K1III	88 Aqr	
3757	142.88208	63.06194	3.67	+0.33	F0IV	23 UMa	
5867	236.54708	15.42194	3.67	+0.06	A2IV	28Bet Ser	
3468	130.89792	-33.18639	3.68	-0.18	B1.5III	Alp Pyx	
4826	190.41500	-1.44944	3.68		F0V	29Gam Vir	
5747	231.95708	29.10583	3.68	+0.28	F0p	3Bet CrB	
8278	325.02292	-16.66222	3.68	+0.32	F0p	40Gam Cap	
